id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
100,simple,12345,my product 1,1,1,visible,This is the first test product,lots more info,,,taxable,standard,1,0,1,5,12,1,Thanks so much!,4.99,5.99,25,category 1,tag1,domestic,color,"blue, red, green",blue,1,,"blue, red, green",,,,,,,
101,variable,12346,my product 2,1,2,visible,This is the second test product,more and more info,,,taxable,standard,1,notify,1,10,20,0,Ace!,21.99,25.99,10,category 3,tag2,worldwide,size,"s, m, l, xl",m,1,,"s, m, l, xl",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,solo vamos a usar productos simples,Aquí va tu codigo interno,Nombre del producto,aquí va 1,,visible,"descripción corta como ml, etc",Información adicional (opcional),,,,,inventario,,,,,,,precio,precio regular,,,etiquetas,,,,,,,,,,,,,,
,Tequila,TJCTP950,Tequila José Cuervo Tradicional Plata,1,,visible,Tequila José Cuervo Tradicional Plata,,,,,,1,,,,,,, $619 , $714 ,,,,,,,,,,,,,,,,,
,Tequila ,TJCTR900,Tequila José Cuervo Reposado,1,,visible,Tequila José Cuervo Reposado,,,,,,1,,,,,,, $568 , $663 ,,,,,,,,,,,,,,,,,
,Tequila ,TJCE695,Tequila José Cuervo Especial,1,,visible,Tequila José Cuervo Especial,,,,,,1,,,,,,, $218 , $313 ,,,,,,,,,,,,,,,,,
,Tequila ,TGCAR950,Tequila Gran Centenario Azul Reposado,1,,visible,Tequila Gran Centenario Azul Reposado,,,,,,1,,,,,,, $322 , $417 ,,,,,,,,,,,,,,,,,
,Tequilao,THR700,Tequila Hornitos Reposado,1,,visible,Tequila Hornitos Reposado,,,,,,1,,,,,,, $369 , $464 ,,,,,,,,,,,,,,,,,
,Tequila ,TGCUC695,Tequila Gran Centenario Ultra Cristal,1,,visible,Tequila Gran Centenario Ultra Cristal,,,,,,1,,,,,,, $567 , $662 ,,,,,,,,,,,,,,,,,
,1800,1800,1800,1,,visible,1800,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Vodka ,VST750,Vodka Smirnoff Tamarindo,1,,visible,Vodka Smirnoff Tamarindo,,,,,,1,,,,,,, $270 , $365 ,,,,,,,,,,,,,,,,,
,Vodka ,VSR750,Vodka Smirnoff Raspberry,1,,visible,Vodka Smirnoff Raspberry,,,,,,1,,,,,,, $270 , $365 ,,,,,,,,,,,,,,,,,
,Vodka ,VAA750,Vodka Absolut Azul,1,,visible,Vodka Absolut Azul,,,,,,1,,,,,,, $327 , $422 ,,,,,,,,,,,,,,,,,
,Vodka ,VVM750,Vodka Absolut Mango,1,,visible,Vodka Absolut Mango,,,,,,1,,,,,,, $327 , $422 ,,,,,,,,,,,,,,,,,
,Vodka ,VAR750,Vodka Absolut Raspberri,1,,visible,Vodka Absolut Raspberri,,,,,,1,,,,,,, $327 , $422 ,,,,,,,,,,,,,,,,,
,Whisky,JBB700,Jim Beam Bourbon,1,,visible,Jim Beam Bourbon,,,,,,1,,,,,,, $483 , $578 ,,,,,,,,,,,,,,,,,
,Whisky,JWRL700,Johnnie Walker Red Label,1,,visible,Johnnie Walker Red Label,,,,,,1,,,,,,, $488 , $583 ,,,,,,,,,,,,,,,,,
,Whisky,WEB700,Whisky Escocés Ballantines,1,,visible,Whisky Escocés Ballantines,,,,,,1,,,,,,, $287 , $382 ,,,,,,,,,,,,,,,,,
,Whisky,WBW700,Whisky Black & white,1,,visible,Whisky Black & white,,,,,,1,,,,,,, $336 , $431 ,,,,,,,,,,,,,,,,,
,Whisky,WP700,Whisky Passport,1,,visible,Whisky Passport,,,,,,1,,,,,,, $221 , $316 ,,,,,,,,,,,,,,,,,
,Whisky,WJB750,Whisky J&B,1,,visible,Whisky J&B,,,,,,1,,,,,,, $420 , $515 ,,,,,,,,,,,,,,,,,
,Whisky,WWL700,Whisky William Lawsons,1,,visible,Whisky William Lawsons,,,,,,1,,,,,,, $256 , $351 ,,,,,,,,,,,,,,,,,
,Ron ,RAES750,Ron Appleton Estate Signature,1,,visible,Ron Appleton Estate Signature,,,,,,1,,,,,,, $505 , $600 ,,,,,,,,,,,,,,,,,
,Ron ,RCMSG750,Ron Capitán Morgan Spiced Gold,1,,visible,Ron Capitán Morgan Spiced Gold,,,,,,1,,,,,,, $324 , $419 ,,,,,,,,,,,,,,,,,
,Ron ,RMC700,Ron Matusalem Clásico,1,,visible,Ron Matusalem Clásico,,,,,,1,,,,,,, $363 , $458 ,,,,,,,,,,,,,,,,,
,Ron ,RM750,Ron Malibu,1,,visible,Ron Malibu,,,,,,1,,,,,,, $284 , $379 ,,,,,,,,,,,,,,,,,
,Ron ,RBR700,Ron Bacardi Raspberry,1,,visible,Ron Bacardi Raspberry,,,,,,1,,,,,,, $293 , $388 ,,,,,,,,,,,,,,,,,
,Ron ,RBMC700,Ron Bacardi Mango Chile,1,,visible,Ron Bacardi Mango Chile,,,,,,1,,,,,,, $293 , $388 ,,,,,,,,,,,,,,,,,
,Ron ,RBB700,Ron Bacardi blanco,1,,visible,Ron Bacardi blanco,,,,,,1,,,,,,, $276 , $371 ,,,,,,,,,,,,,,,,,
,Ron ,RBB750,Ron Bacardi blanco,1,,visible,Ron Bacardi blanco,,,,,,1,,,,,,, $557 , $652 ,,,,,,,,,,,,,,,,,
,Ron ,RBB980,Ron Bacardi blanco,1,,visible,Ron Bacardi blanco,,,,,,1,,,,,,, $319 , $414 ,,,,,,,,,,,,,,,,,
,Brandy,BP700,Brandy Presidente,1,,visible,Brandy Presidente,,,,,,1,,,,,,, $194 , $289 ,,,,,,,,,,,,,,,,,
,Brandy,BT5700,Brandy Torres 5,1,,visible,Brandy Torres 5,,,,,,1,,,,,,, $318 , $413 ,,,,,,,,,,,,,,,,,
,Brandy,BT10700,Brandy Torres 10,1,,visible,Brandy Torres 10,,,,,,1,,,,,,, $447 , $542 ,,,,,,,,,,,,,,,,,
,Brandy,BT15700,Brandy torres 15,1,,visible,Brandy torres 15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Cerveza,CM473,Modelo lata,1,,visible,Modelo lata,,,,,,1,,,,,,, $29 ,,,,,,,,,,,,,,,,,,
,Cerveza,CT473,Tecate laton,1,,visible,Tecate laton,,,,,,1,,,,,,, $21 ,,,,,,,,,,,,,,,,,,
,Cerveza,CCL355,Corona ligth,1,,visible,Corona ligth,,,,,,1,,,,,,, $23 ,,,,,,,,,,,,,,,,,,
,Cerveza,CI473,Indio Laton,1,,visible,Indio Laton,,,,,,1,,,,,,, $26 ,,,,,,,,,,,,,,,,,,
,Cerveza,JA350,Jimador azul,1,,visible,Jimador azul,,,,,,1,,,,,,, $33 ,,,,,,,,,,,,,,,,,,
,Cerveza,JR350,Jimador rojo,1,,visible,Jimador rojo,,,,,,1,,,,,,, $33 ,,,,,,,,,,,,,,,,,,
,Cerveza,CSCL473,sol clamato,1,,visible,sol clamato,,,,,,1,,,,,,, $30 ,,,,,,,,,,,,,,,,,,
,Cerveza,XXL473,xx lager laton,1,,visible,xx lager laton,,,,,,1,,,,,,, $28 ,,,,,,,,,,,,,,,,,,
,Cerveza,CH0355,Heineken 0,1,,visible,Heineken 0,,,,,,1,,,,,,, $22 ,,,,,,,,,,,,,,,,,,
,Coca-cola Bacardi,CCB473,Coca-cola Bacardi,1,,visible,Coca-cola Bacardi,,,,,,1,,,,,,, $35 ,,,,,,,,,,,,,,,,,,
,Vaso rojo,VR,Vaso rojo,1,,visible,Vaso rojo,,,,,,1,,,,,,, $5 ,,,,,,,,,,,,,,,,,,
,Sopa,SM,Maruchan,1,,visible,Maruchan,,,,,,1,,,,,,, $25 ,,,,,,,,,,,,,,,,,,
,Suero,ELECPF,Electrolit ponche de frutas,1,,visible,Electrolit ponche de frutas,,,,,,1,,,,,,, $25 ,,,,,,,,,,,,,,,,,,
,Suero,ELECF,Electrolit fresa,1,,visible,Electrolit fresa,,,,,,1,,,,,,, $26 ,,,,,,,,,,,,,,,,,,
,Suero,ELECM,Electrolit Manzana,1,,visible,Electrolit Manzana,,,,,,1,,,,,,, $25 ,,,,,,,,,,,,,,,,,,
,Suero,SUEUM,Suero x uva mora,1,,visible,Suero x uva mora,,,,,,1,,,,,,, $22 ,,,,,,,,,,,,,,,,,,
,Suero,SUMA,Suero x mora azul,1,,visible,Suero x mora azul,,,,,,1,,,,,,, $20 ,,,,,,,,,,,,,,,,,,
